,0,1
_ASUS,-1.3661344874279342,0.9221768955944726
_BLACKBERRY,-0.4700533340953455,-0.7186496164038626
_CAT,-3.5414264701977043,-2.5879573899597506
_DOCOMO,-2.8674435863900936,0.7985230692015687
_FPT,-2.593730376992378,1.3824715206692357
_FUJITSU,2.7399804036360327,4.01425231635866
_GAMMA,-2.579086342227987,1.641580109703597
_GOOGLE,-1.2776370892324391,-1.1310434478778741
_GOOGLE NEXUS,-3.0788605954939468,-2.989358238010486
_HTC,0.4190859807524272,0.24867333065677602
_HUAWEI,1.4942442937577036,-4.361410217455053
_ITEL,2.460170705363331,5.34143838862996
_KYOCERA,0.4319203195639305,1.062628423548853
_KYOCERA TORQUE,-0.8456989015562452,0.3926415461657953
_LANDROVER,1.8786696335372566,5.277864693420515
_LG,-0.23357030817864893,-0.03150425624854089
_MEIZU,0.4033622181997545,-8.598230854236592
_MOBIISTAR,7.082076800550976,5.942660013007941
_MOTOROLA,-0.32706778157980587,1.0581369768904854
_NOKIA,-3.3510600460908146,3.3257120456366307
_ONEPLUS,-2.192234148429409,-1.4166979944538158
_OPPO,0.5639509370474984,0.671485198261013
_OUKITEL,0.2496647718878322,1.0996303833288052
_POCO,-1.0569802744015049,1.279291484238786
_REALME,0.4276181096400945,-0.5488675691460296
_SAMSUNG,0.08187262693275586,0.03815751319005878
_SHARP,1.2214287467596003,0.6557051523588091
_SONY,-0.06413052035736046,-0.2743992521716092
_TECNO,0.3955993060820143,1.1875004444679829
_ULEFONE,0.45855790348929915,0.06097863720607167
_UNKNOWN,-1.6788489296536782,-0.652999841745379
_VIETTEL,-2.9757137326802483,0.32819076027531274
_VIVO,0.7691661018871037,-0.12131516900275263
_VSMART,-2.2058926971106314,-0.8814969993417274
_XIAOMI,0.6413029788064127,-0.003499669124793797
_XIAOMI DEERMA,2.0686467931446817,-3.1557110045170194
