item_id,shop_id,shop_location,brand,sold_quantity,discount_price,original_price,discount,liked_count,rating_star,number_of_ratings,Cluster
8145585601,11171175,TP. HO CHI MINH,VIVO,298,1099000.0,2100000.0,0.49,17,5.0,13,0
6645192206,236893379,HA NOI,SONY,32,3040000.0,3040000.0,0.19,122,4.6875,16,1
7912198123,129984807,DONG THAP,MOTOROLA,15,2188000.0,2188000.0,0.0,50,4.916666666666667,12,1
7957104890,48810739,TP. HO CHI MINH,SAMSUNG,172,3000000.0,3000000.0,0.0,3560,4.2,5,0
5230460584,167948253,TP. HO CHI MINH,KYOCERA,25,1690000.0,1690000.0,0.0,15638,4.8,10,1
11336727380,331695868,BEN TRE,SAMSUNG,100,2819000.0,3690000.0,0.24,94,4.909090909090909,44,1
10000552940,193124085,BEN TRE,NOKIA,61,1799000.0,2390000.0,0.25,82767,5.0,30,1
8423001634,40757878,BEN TRE,SAMSUNG,63,4779000.0,6690000.0,0.29,95,4.958333333333333,24,1
8931485916,407016717,NAM DINH,XIAOMI,67,2599000.0,2990000.0,0.13,142,5.0,25,1
4106197807,188863065,PHU THO,SAMSUNG,27,1550000.0,2150000.0,0.28,521,4.9375,16,1
2380069405,144936067,VINH PHUC,XIAOMI,17,2750000.0,2890000.0,0.05,379,5.0,13,1
2022139078,42116881,HAI PHONG,SONY,16,1890000.0,1890000.0,0.0,7742,5.0,12,1
2945945729,11171175,TP. HO CHI MINH,XIAOMI,1565,1979000.0,3650000.0,0.47,36,4.3,20,0
7361286059,236893379,HA NOI,SONY,33,1850000.0,1850000.0,0.0,61,4.823529411764706,17,1
2250651724,118122501,HA NOI,SAMSUNG,18,5990000.0,5990000.0,0.0,187,4.846153846153846,13,1
4118628710,108110554,TP. HO CHI MINH,SAMSUNG,702,744000.0,1200000.0,0.47,17,4.714285714285714,14,0
99420800,11171175,TP. HO CHI MINH,SAMSUNG,23,1200000.0,2400000.0,0.5,3550,4.75,16,0
3631391490,48135204,HA NOI,VSMART,36,2990000.0,2990000.0,0.0,169,4.666666666666667,18,1
10869039211,11171175,TP. HO CHI MINH,VIVO,310,1098000.0,2100000.0,0.48,43,4.411764705882353,17,0
10669008031,11171175,TP. HO CHI MINH,VIVO,316,748000.0,1288000.0,0.45,12,4.8,10,0
9031476617,11171175,TP. HO CHI MINH,SAMSUNG,547,898000.0,1250000.0,0.47,14,4.833333333333333,18,0
3520576638,108110554,TP. HO CHI MINH,XIAOMI,153,888000.0,1548000.0,0.49,15,4.9,10,0
3334607099,48135204,HA NOI,VSMART,12,5790000.0,5790000.0,0.0,96,5.0,9,1
10336485694,193124085,BEN TRE,SAMSUNG,260,2849000.0,3690000.0,0.23,52971,4.978723404255319,94,1
7276271014,372851706,TP. HO CHI MINH,GOOGLE,56,2390000.0,2800000.0,0.15,366,4.9,20,1
8266064798,155680769,HA NOI,SAMSUNG,7,5750000.0,5750000.0,0.0,9211,5.0,3,1
4131860980,228149948,HA NOI,XIAOMI,24,2990000.0,2990000.0,0.0,109,4.733333333333333,15,1
10761821867,204574220,HAI PHONG,LG,53,3798000.0,3798000.0,0.0,37,4.956521739130435,23,1
13535875234,25826246,HA NOI,LG,14,3650000.0,3650000.0,0.0,24,4.636363636363637,11,1
13217648802,71474818,HA NOI,SONY,56,4559000.0,4559000.0,0.0,171,4.678571428571429,28,1
13022143290,440331344,HA NOI,SONY,17,4129027.0,4129027.0,0.0,47,4.909090909090909,11,1
2809281070,167948253,TP. HO CHI MINH,KYOCERA,34,1440000.0,1440000.0,0.0,6074,4.65,20,1
4231869464,71474818,HA NOI,MOTOROLA,44,2659000.0,2659000.0,0.0,814,4.576923076923077,26,1
11850669836,68527388,TP. HO CHI MINH,SAMSUNG,255,2810000.0,3690000.0,0.24,159,4.925925925925926,108,1
4885617804,55194587,HA NOI,SAMSUNG,160,18790000.0,18790000.0,0.0,62,4.977272727272728,44,2
13745279749,11171175,TP. HO CHI MINH,VIVO,318,1088000.0,2050000.0,0.48,36,4.666666666666667,15,0
9674449018,199422123,HA NOI,NOKIA,39,1499000.0,1499000.0,0.0,52,4.8,20,1
5542741206,143976140,TP. HO CHI MINH,SONY,20,2190000.0,2190000.0,0.0,208,5.0,14,1
10510719276,110595666,HA NOI,SAMSUNG,13,20990000.0,20990000.0,0.0,52,5.0,10,2
9332787777,110564302,HA TINH,XIAOMI,13,5290000.0,5290000.0,0.0,59,5.0,10,1
3609644627,52785791,TP. HO CHI MINH,LG,70,1799000.0,2150000.0,0.16,2169,5.0,10,1
778268410,48782032,TP. HO CHI MINH,HTC,219,1750000.0,1750000.0,0.0,698,5.0,2,1
6566542903,174341597,TP. HO CHI MINH,SHARP,12,1640000.0,1640000.0,0.0,3800,5.0,8,1
10669055956,11171175,TP. HO CHI MINH,VIVO,316,1097000.0,2100000.0,0.5,12,5.0,10,0
7361128708,71474818,HA NOI,HUAWEI,47,2105100.0,2339000.0,0.1,68,4.681818181818182,22,1
7543658648,48810739,TP. HO CHI MINH,SAMSUNG,169,2990000.0,2990000.0,0.0,3545,5.0,6,1
3557192519,48782032,TP. HO CHI MINH,LG,197,5000000.0,5000000.0,0.0,3137,5.0,5,1
