shop_location,0,1
AN GIANG,0.22458664059690286,1.5748483909523332
BAC GIANG,-0.16272708089680699,0.08153547806870409
BAC LIEU,-0.5286707783029994,0.337533827785606
BAC NINH,2.208948482807863,0.7620938780019763
BEN TRE,-0.010675343462150556,0.6606058642573504
DA NANG,-0.34569892959990317,0.20953465292715504
DAK LAK,4.624168346952319,5.555890560642775
DONG THAP,-0.05944695933820286,-0.016506762741909025
HA NAM,-0.16272708089680699,0.08153547806870409
HA NOI,0.7540212430605585,-0.39091349018573923
HA TINH,1.7725862707013418,-1.4896477897644353
HAI DUONG,2.2307206330277563,2.8187130193557395
HAI PHONG,0.5019572239949158,-0.618484978392098
HUNG YEN,4.624168346952319,5.555890560642775
NAM DINH,-0.1492157250895588,0.06950469902871567
NGHE AN,0.17465419376131125,-0.9388890188032253
PHU THO,-0.16272708089680699,0.08153547806870409
QUANG NAM,-0.16272708089680699,0.08153547806870409
QUANG NINH,-0.05887882801814044,-0.1835788033052992
THAI NGUYEN,-0.8880536276644075,0.30515443350326904
THANH HOA,-0.5286707783029994,0.337533827785606
THUA THIEN HUE,-0.5286707783029994,0.337533827785606
TP. HO CHI MINH,-0.25975979019412226,0.08134884438976465
VINH PHUC,-0.7471139031411477,0.35177486915570133
YEN BAI,1.563536090607305,-0.9891800462330025
