item_id,shop_id,shop_location,brand,sold_quantity,discount_price,original_price,discount,liked_count,rating_star,number_of_ratings,cluster
3011386018,108110554,TP. HO CHI MINH,LG,2023,977000,1600000,0.47,13,4.857142857,14,0
1786241670,108110554,TP. HO CHI MINH,LG,231,1298000,2199000,0.41,16,5,10,2
7952368185,108110554,TP. HO CHI MINH,SAMSUNG,146,949000,1690000,0.5,10,5,4,2
7718780841,108110554,TP. HO CHI MINH,SAMSUNG,204,745000,1445000,0.5,24,5,8,2
7088880705,110564302,HA TINH,VSMART,51,3999000,3999000,0,153,5,41,1
7445329337,48810739,TP. HO CHI MINH,SAMSUNG,277,3090000,3090000,0,3837,4.380952381,21,2
3651209516,11171175,TP. HO CHI MINH,OPPO,2694,549000,1000000,0.5,24,4.411764706,17,0
13032505697,204574220,HAI PHONG,XIAOMI,59,1298000,1398000,0.07,34,4.909090909,22,2
9808141949,43748089,TP. HO CHI MINH,LG,1049,2599000,4500000,0.46,16,4.625,8,2
8182797124,212863484,HA NOI,LG,98,3288000,3288000,0,6005,4.836363636,55,1
4441239051,48782032,TP. HO CHI MINH,LG,244,4500000,4500000,0,3840,4.916666667,12,1
13019318057,69898445,HA NOI,LG,206,3499000,3499000,0,9750,4.774193548,124,1
8603515418,14947974,HA NOI,XIAOMI,171,2150000,2750000,0.22,94,4.92,50,2
2455988983,49282974,NGHE AN,XIAOMI,91,2788000,2988000,0.07,302,4.910714286,56,2
6386267225,11171175,TP. HO CHI MINH,XIAOMI,917,1345000,1900000,0.29,17,4.833333333,6,2
6736596107,48782032,TP. HO CHI MINH,LG,354,3295000,3295000,0,3181,4.583333333,12,2
6143372668,48975746,TP. HO CHI MINH,SAMSUNG,999,2499000,3799000,0.34,551,4.214285714,14,0
6151342251,11171175,TP. HO CHI MINH,SAMSUNG,2716,799000,1400000,0.5,23,4.473684211,19,0
8045587179,11171175,TP. HO CHI MINH,VIVO,376,1097000,2050000,0.5,19,4.882352941,17,2
2809197755,49282974,NGHE AN,HUAWEI,39,1268000,1388000,0.1,67,4.8125,16,2
1659289561,20263686,TP. HO CHI MINH,XIAOMI,59,1800000,1800000,0,48,4.923076923,13,2
4852365805,108110554,TP. HO CHI MINH,OPPO,1949,647000,1290000,0.5,30,4.481481481,27,0
5284050318,8940655,HA NOI,GOOGLE,120,4190000,4190000,0,174,4.95,60,1
8941473124,11171175,TP. HO CHI MINH,LG,1683,1298000,2250000,0.43,52,4.571428571,28,0
6961580380,189268414,HA NOI,SAMSUNG,155,5460000,6000000,0.12,13339,4.882352941,51,1
4491840321,313858795,HA NOI,VSMART,103,3599000,3599000,0.12,177,4.967741935,62,1
8518067838,240247809,TP. HO CHI MINH,SONY,230,2590000,2890000,0.16,361,4.717741935,124,2
6990939852,456926161,THAI NGUYEN,OPPO,593,2700000,2700000,0,1699,5,94,2
9346494668,241749563,HA NOI,GOOGLE,128,3928028,3928028,0.21,182,4.818181818,66,1
6588440673,130207332,TP. HO CHI MINH,VIVO,45,1050000,1050000,0,51,4.869565217,23,2
6341258200,48782032,TP. HO CHI MINH,OPPO,217,4199000,4199000,0,3802,5,12,1
13045276629,11171175,TP. HO CHI MINH,VIVO,588,998000,1750000,0.46,31,4.6,25,0
5952368282,108110554,TP. HO CHI MINH,SAMSUNG,2233,950000,1899000,0.5,98,4.191489362,47,0
6652526088,309929726,TP. HO CHI MINH,OPPO,150,645000,1100000,0.48,936,4.875,8,0
3345715099,30580603,HA NOI,SONY,68,2800000,2800000,0,84,4.880952381,42,2
5952369554,108110554,TP. HO CHI MINH,LG,1426,2198000,3900000,0.47,37,4.818181818,22,2
8609740770,108110554,TP. HO CHI MINH,OPPO,2719,2700000,5400000,0.5,62,5,18,0
4252368551,108110554,TP. HO CHI MINH,LG,1862,1849000,3379000,0.46,20,5,14,0
4552370714,108110554,TP. HO CHI MINH,XIAOMI,2724,1349000,2150000,0.5,35,4.352941176,17,0
4452961951,48975746,TP. HO CHI MINH,LG,1025,3399000,6600000,0.49,3085,5,9,1
3017124708,11171175,TP. HO CHI MINH,OPPO,1311,849000,1500000,0.49,14,5,8,0
5886628439,71474818,HA NOI,GOOGLE,101,2420100,2689000,0.1,135,4.84375,65,2
5852378344,108110554,TP. HO CHI MINH,SONY,1361,1849000,2000000,0.08,16,4.333333333,6,0
6651174161,11171175,TP. HO CHI MINH,OPPO,726,2290000,4000000,0.5,19,5,12,2
3506800224,95535590,TP. HO CHI MINH,XIAOMI,81,1020000,1020000,0,168,4.894736842,38,2
6840480462,236893379,HA NOI,LG,50,2896000,2990000,0.34,1199,4.862068966,29,2
3176230338,43748089,TP. HO CHI MINH,SAMSUNG,623,1499000,2899000,0.48,13,5,5,2
5543949942,48975746,TP. HO CHI MINH,SAMSUNG,620,2799000,2799000,0,8,5,5,2
9655991113,49282974,NGHE AN,GOOGLE,147,2188000,2228000,0.02,190,4.855072464,69,2
2806395596,87493314,VINH PHUC,SONY,178,1599000,1599000,0,137,4.383333333,60,2
4842710787,192933058,TP. HO CHI MINH,SONY,60,2450000,2450000,0,1839,4.918918919,37,2
7357107974,48810739,TP. HO CHI MINH,SAMSUNG,554,1650000,1650000,0,3621,5,5,2
10041337684,193124085,BEN TRE,XIAOMI,223,3629000,4290000,0.15,41638,4.922222222,90,1
11061613648,25452983,TP. HO CHI MINH,OPPO,162,3950000,4490000,0.21,130,5,44,1
6852368187,108110554,TP. HO CHI MINH,XIAOMI,2019,690000,1290000,0.47,26,4.25,12,0
2480740576,31474031,HA NOI,LG,116,3150000,3150000,0,3607,4.675675676,74,2
6641199792,48782032,TP. HO CHI MINH,SONY,212,2850000,2850000,0,3082,5,10,2
6552368242,108110554,TP. HO CHI MINH,SONY,789,1448000,2550000,0.43,32,4.65,20,0
4939628692,48782032,TP. HO CHI MINH,LG,234,4990000,4990000,0,3767,5,10,1
3586373536,11171175,TP. HO CHI MINH,XIAOMI,1559,735000,1000000,0.34,62,3.739130435,23,0
6782985850,11171175,TP. HO CHI MINH,LG,1846,1549000,1649000,0.49,65,4.620689655,29,0
5631646121,108110554,TP. HO CHI MINH,SONY,911,1347000,2400000,0.45,74,4.15,20,0
