,0,1
_AN GIANG,1.837162548226695,2.324218134052903
_BAC GIANG,0.08747776718183028,1.830026240312698
_BAC LIEU,4.655302679151559,1.939901700712793
_BAC NINH,-3.2211015701884005,1.2456445083305459
_BEN TRE,0.10966509443981542,1.0739714036875774
_DA NANG,1.8506040437871085,-1.6479659375511992
_DAK LAK,-6.219141478888217,9.450204202218362
_DONG THAP,-1.265716226214411,-0.6567402806373137
_HA NAM,0.39596819732816024,-3.2043061366988703
_HA NOI,-1.26156102140955,-0.6154974726919881
_HA TINH,-1.6032072293806237,-0.8557558333050108
_HAI DUONG,-5.037472902667003,1.8989971862607926
_HAI PHONG,-1.2906926967447014,-0.4464744673449822
_HUNG YEN,-6.022632214644139,6.967261902456592
_NAM DINH,0.7297380518708076,-1.0213928683672877
_NGHE AN,1.2657435601295337,-3.2754236528423903
_PHU THO,2.0673555375701027,-2.5176927426558757
_QUANG NAM,2.438789170147125,4.434055937134958
_QUANG NINH,-3.663959174129932,-0.9864548424189696
_THAI NGUYEN,0.5938713163072782,1.0751078719719473
_THANH HOA,-1.2928019169347156,2.3685589226496937
_THUA THIEN HUE,2.519250780656084,0.9974988919485529
_TP. HO CHI MINH,0.33334636420343033,0.18400820810805718
_VINH PHUC,0.24246587659115093,0.7370927490607991
_YEN BAI,-2.2277847285912764,0.1810683502422682
